ra,dec,beta_t,min_chi_sq
68.85848904350321,-69.99470878377969,3.490658503988659e-05,-51.03600994472736
77.31754043245328,-68.5903867350502,4.363323129985824e-05,-125.99978077110016
76.17450768435398,-70.92675342403393,4.363323129985824e-05,-112.29251442383602
84.21940171510559,-68.48086049829507,4.363323129985824e-05,-92.41411940226628
79.24958597847088,-66.56092224306033,3.490658503988659e-05,-44.51579956380414
79.65600379765809,-68.44489232551717,4.363323129985824e-05,-69.66811376461428
75.43572175732218,-72.87570922739184,3.490658503988659e-05,-51.08387271799489
89.2103657344025,-67.03513724432335,3.490658503988659e-05,-45.57922022719025
70.5563378374719,-70.12969841694107,4.363323129985824e-05,-70.9931268419634
84.68638883078853,-69.41238941802172,3.490658503988659e-05,-49.702374632322254
76.56483937786177,-70.2592260348676,3.490658503988659e-05,-55.35097572440402
73.35529356366142,-69.42454161541457,3.490658503988659e-05,-56.25450847759853
84.36337311337311,-71.61785302860014,3.490658503988659e-05,-45.48639563627607
85.82736290989253,-70.47692005161736,4.363323129985824e-05,-128.3705193024828
85.36669859870342,-65.78887938533293,3.490658503988659e-05,-52.83637159184933
85.64808866698651,-67.91729197177672,4.363323129985824e-05,-69.88626904531928
90.10951134380451,-71.51371640451424,4.363323129985824e-05,-53.440996726638076
83.54129360696774,-70.87644487875565,3.490658503988659e-05,-54.30382810220601
74.42889417690577,-70.63426014728802,4.363323129985824e-05,-59.30314819560139
84.55263157894737,-65.98796853434736,4.363323129985824e-05,-69.48517109576729
69.71075859933025,-71.48080892601604,4.363323129985824e-05,-62.398499438045455
90.1695441853148,-67.16077440732201,4.363323129985824e-05,-88.19172215936695
83.96365726412591,-71.75938921769573,4.363323129985824e-05,-134.55860924898334
72.79703838865885,-66.9593772684382,4.363323129985824e-05,-65.87949420856513
83.54113446353925,-71.47683099462462,3.490658503988659e-05,-47.00156694824172
84.97279697806844,-70.9200578966712,4.363323129985824e-05,-131.61057817118459
72.15556368960468,-67.92401942657901,3.490658503988659e-05,-60.13192316466733
82.17738942281116,-67.25252657118722,4.363323129985824e-05,-103.51268409852804
92.67555551770245,-68.92810469922364,4.363323129985824e-05,-69.03957427159779
79.17613067005144,-73.91920645401217,4.363323129985824e-05,-65.18776574119767
77.85979315018274,-73.88261890739649,3.490658503988659e-05,-49.794351027553425
80.31358039441162,-65.923924994155,4.363323129985824e-05,-114.72774571956779
78.35761728799291,-66.95336702604982,3.490658503988659e-05,-79.28756136466039
78.44928314449874,-73.32404572060673,4.363323129985824e-05,-50.46905347808121
80.08467329337816,-65.39467878816299,4.363323129985824e-05,-78.13170574801136
87.72204344694933,-70.32714990660858,4.363323129985824e-05,-91.53018864952269
71.22342481638964,-69.10923388586983,3.490658503988659e-05,-55.24177845233361
85.10583151556371,-68.3549624823163,3.490658503988659e-05,-45.78358357274984
78.18849368523743,-69.58703216268563,3.490658503988659e-05,-68.70387881765242
80.71560628212991,-70.99370508695337,4.363323129985824e-05,-108.24999402537641
86.51274409651575,-68.74038560692293,4.363323129985824e-05,-65.53569790230867
86.44591446426044,-67.17479305791213,4.363323129985824e-05,-147.20607590751777
71.63923662785608,-71.57392226273146,4.363323129985824e-05,-77.61878738239096
83.90522503982348,-71.88770556010213,4.363323129985824e-05,-100.33402046611069
78.89647922018509,-69.6075218796514,3.490658503988659e-05,-52.79757837183952
77.76853620272159,-68.95152017617363,4.363323129985824e-05,-126.5546252030467
83.15972896833107,-67.81709830846643,3.490658503988659e-05,-52.67410368806204
80.06088413908691,-72.68456764242613,3.490658503988659e-05,-48.02466139642078
76.83991514991988,-66.79033739712034,3.490658503988659e-05,-46.076190278328525
77.02895833510878,-68.94117391230543,3.490658503988659e-05,-85.70044897836769
83.11333870922894,-70.65453604494695,3.490658503988659e-05,-53.8180372897929
85.4856181237096,-70.98357228340492,3.490658503988659e-05,-46.811861027079175
81.89787186127687,-72.49825264231737,3.490658503988659e-05,-59.233882635545314
75.94530454014563,-68.32698155968484,4.363323129985824e-05,-98.60569705756642
82.75409291437137,-66.74260352382808,4.363323129985824e-05,-68.83913765089207
78.63503452619267,-66.02318011391367,4.363323129985824e-05,-59.228792842123745
84.82040753345395,-69.06604355910807,3.490658503988659e-05,-57.92409274068126
93.37471466357478,-70.20053416900512,4.363323129985824e-05,-75.7566759876551
76.91155423684441,-69.44032098537275,4.363323129985824e-05,-144.42272573817792
80.33634070092691,-70.38130287095346,3.490658503988659e-05,-64.40412155582597
90.69616577057415,-67.11161536143453,3.490658503988659e-05,-71.84269859584647
89.3908526923037,-72.70370202778068,3.490658503988659e-05,-52.60204768303936
74.18711621430364,-66.37991045963882,3.490658503988659e-05,-45.84993303959949
87.72480013187176,-70.41770421556704,4.363323129985824e-05,-84.20603696200058
74.4383671984618,-69.28287232878097,3.490658503988659e-05,-57.85592953829664
83.43060468249958,-70.83970643284917,3.490658503988659e-05,-50.017778992012865
89.79750817398197,-68.25556976660249,4.363323129985824e-05,-74.46190378688789
80.48323019329206,-68.8576713849524,3.490658503988659e-05,-61.565018501211405
80.99137861639271,-67.6901495395239,3.490658503988659e-05,-55.421611582298716
76.3396303385948,-72.87552875759243,3.490658503988659e-05,-49.5159653206046
73.32251280175569,-68.40456181830481,3.490658503988659e-05,-55.35845708275913
74.93698373499105,-71.05305135569054,3.490658503988659e-05,-45.585617440228184
73.72335799924312,-67.69615203875554,4.363323129985824e-05,-83.84409085726375
83.8854510015213,-67.32952144431843,4.363323129985824e-05,-101.359513757037
83.30719807001131,-68.11926396905062,3.490658503988659e-05,-45.78586324357857
92.14616420674558,-70.83101921920948,3.490658503988659e-05,-52.590699387905
80.58946460831007,-68.13489528765055,4.363323129985824e-05,-67.50455773333421
87.2337600883304,-69.52610308693156,4.363323129985824e-05,-69.94761315052173
81.00379459366226,-71.29327913557722,3.490658503988659e-05,-49.48254998155029
80.78197873520106,-67.97783629363197,4.363323129985824e-05,-63.222387745736974
88.1131588934191,-71.58115385216743,4.363323129985824e-05,-65.10793796368375
75.02937585838549,-68.82989520368167,3.490658503988659e-05,-49.693838430287606
78.1779041429732,-66.77466947710039,4.363323129985824e-05,-84.9497304282838
80.98121959030195,-72.65857298094076,3.490658503988659e-05,-69.80548215830821
87.39809788256422,-68.40619689148318,3.490658503988659e-05,-53.88030368032025
82.82965127035027,-66.68848803873118,4.363323129985824e-05,-105.69375818915572
85.4407463152813,-71.06173574494622,3.490658503988659e-05,-60.313159890208475
69.47847155299381,-70.27335477640273,3.490658503988659e-05,-49.41529838086018
75.01982191012532,-66.6099474321981,4.363323129985824e-05,-114.9399080368022
92.78355683132685,-69.05660661701464,3.490658503988659e-05,-54.46485491185956
85.55996984322914,-65.67351611119983,3.490658503988659e-05,-44.66892965682997
84.06584221331508,-71.66738486271478,4.363323129985824e-05,-87.82936929261929
77.42949039335821,-68.87981881204627,3.490658503988659e-05,-79.7555855537549
87.06034809552848,-68.21377264178398,3.490658503988659e-05,-44.80374301915923
85.5299689762151,-68.29936274311726,4.363323129985824e-05,-69.06311686111836
74.85643158110689,-67.23377683635468,4.363323129985824e-05,-89.08124915348264
78.86209174253517,-67.42998143487327,4.363323129985824e-05,-74.35028096933493
89.48423968440463,-66.90874351847262,3.490658503988659e-05,-58.11000120373242
74.24699294696076,-71.62779582764206,4.363323129985824e-05,-67.19964702420894
74.72193359467245,-67.17843420921129,4.363323129985824e-05,-68.00218783078306
79.74610125220865,-68.97529777415278,4.363323129985824e-05,-64.96883173355454
82.09049701565374,-70.89580867958402,3.490658503988659e-05,-88.89263256425455
82.93070047105353,-67.6581351627174,3.490658503988659e-05,-50.43686695253562
91.29660262691827,-70.0488891897529,4.363323129985824e-05,-54.58318636389168
83.16837676555187,-69.10016053702861,3.490658503988659e-05,-50.19355313883111
85.75073822056747,-70.44504918654022,3.490658503988659e-05,-55.82682604263319
74.03333908190143,-67.08193579719295,4.363323129985824e-05,-55.68488172348836
83.10267922789613,-71.71854002843212,4.363323129985824e-05,-141.2489301016993
73.12231528707126,-70.8416972369844,4.363323129985824e-05,-81.62216727877464
75.95944793292439,-70.23531516624325,4.363323129985824e-05,-84.30566072489695
84.68593072561819,-71.18728529968357,4.363323129985824e-05,-90.73889138445499
72.25645100972326,-72.7558678379899,3.490658503988659e-05,-58.80157768497301
74.21823098443947,-70.83843955445101,4.363323129985824e-05,-119.2892899846046
80.91542565899498,-69.72627675123027,3.490658503988659e-05,-62.756893895281905
87.41421405598291,-67.04169291727959,4.363323129985824e-05,-53.22340452453835
78.17806887524303,-71.37665201265177,4.363323129985824e-05,-74.59178422572873
81.26653827782033,-66.29421437328676,3.490658503988659e-05,-65.19395766648086
80.14097915211589,-71.26434044562842,3.490658503988659e-05,-65.07998165843503
89.82473932295386,-71.17462283577741,4.363323129985824e-05,-59.510177695879364
81.91074012128426,-72.54050255534239,4.363323129985824e-05,-61.231580253488815
78.50665585768513,-66.27634413451844,4.363323129985824e-05,-83.10358628575939
82.3547846661425,-65.52781594111606,3.490658503988659e-05,-65.13268969874792
89.77015411260966,-67.60137806096736,3.490658503988659e-05,-48.493952344335405
79.33180797625387,-71.15707589519286,3.490658503988659e-05,-114.82235367426912
87.09607288287667,-71.82409244343162,4.363323129985824e-05,-55.928186984058144
79.3747478361487,-66.39048479155346,4.363323129985824e-05,-110.09679298749347
80.53953826176905,-65.48764091915565,3.490658503988659e-05,-47.08793757075699
78.69370892740478,-66.61978839644229,4.363323129985824e-05,-96.77798263302479
73.78800794504677,-68.30753949932026,3.490658503988659e-05,-44.697516508690775
83.80309226708935,-65.95457926362013,3.490658503988659e-05,-47.094263846969035
75.15746370196862,-69.16240105005454,3.490658503988659e-05,-46.57996423091698
69.37152386231149,-71.24209300813416,4.363323129985824e-05,-54.33646722781679
81.05039903426999,-73.98192412565103,4.363323129985824e-05,-60.433187604310724
83.5207663881748,-67.6439464082855,4.363323129985824e-05,-113.9197834173531
93.46773132679104,-69.54242394803111,3.490658503988659e-05,-47.70174574354925
83.82726830245944,-71.2169507363014,4.363323129985824e-05,-110.13500765753165
88.74328719781803,-68.81101394395625,4.363323129985824e-05,-57.6071906993887
88.80409302815602,-69.56527244898854,4.363323129985824e-05,-58.8005032769173
83.21937336494442,-72.46845959574858,3.490658503988659e-05,-54.339437639469864
86.97144799456154,-71.2784482074712,4.363323129985824e-05,-119.68811347400923
86.2176904176904,-73.60175863718143,4.363323129985824e-05,-66.75552293063001
83.42255765985374,-68.94389663015377,3.490658503988659e-05,-67.74879598241054
