ra,dec,beta_t,min_chi_sq
74.24582230168826,-69.12429535257039,4.363323129985824e-05,-85.09814496736436
76.26842183008169,-74.24481742898871,4.363323129985824e-05,-0.0
71.9549628334062,-71.55439660142261,3.490658503988659e-05,-45.719562406561174
86.79583558886542,-66.42767564993936,3.490658503988659e-05,-47.91473394963747
88.79135131023466,-66.37188841657093,3.490658503988659e-05,-45.680387796415246
83.07700709552665,-67.80418644376796,4.363323129985824e-05,-69.00948737362104
89.48789367069256,-71.23956073426966,4.363323129985824e-05,-76.95141020649879
87.5503961401286,-69.32296380303839,3.490658503988659e-05,-52.6751482717975
76.94931950331197,-73.18208561060672,3.490658503988659e-05,-49.561928449645386
79.75764369522084,-67.00071871083816,3.490658503988659e-05,-69.7141198281661
85.79450241920529,-68.7064302609499,3.490658503988659e-05,-48.14037311058007
79.22357715588397,-71.76173887866958,3.490658503988659e-05,-56.30806062926968
86.79235817742908,-66.1722109843034,3.490658503988659e-05,-46.41574921797061
90.47020722132378,-68.57803650950979,3.490658503988659e-05,-44.84287764679819
83.57018748839798,-65.78632413999051,4.363323129985824e-05,-51.947050330701494
75.9865921877254,-67.58973489103496,3.490658503988659e-05,-48.89163338760294
72.76776220396327,-71.45766428220176,3.490658503988659e-05,-44.99638074057779
77.25773439345038,-69.48801944449247,4.363323129985824e-05,-128.8956824203239
93.09613985914743,-69.77540400417143,4.363323129985824e-05,-75.74090537292581
87.22301929586418,-69.11231879430233,3.490658503988659e-05,-61.717403997615655
83.8705891874393,-65.55977116355115,3.490658503988659e-05,-46.162312440029076
77.35860633870452,-66.42129504450993,3.490658503988659e-05,-45.26167026971772
86.44448523077152,-66.00311161978908,4.363323129985824e-05,-84.4496404172797
76.73642030276045,-72.90187689558782,4.363323129985824e-05,-55.90337305463167
72.3635180574865,-67.78290852288723,4.363323129985824e-05,-139.81968752398586
79.75726732201588,-70.42567240276637,3.490658503988659e-05,-50.14869400050237
90.13892380559722,-72.18184334682857,3.490658503988659e-05,-44.88806645879907
88.82677350678806,-73.2594724119903,3.490658503988659e-05,-45.26561233810784
72.52650617437943,-71.31823778877808,3.490658503988659e-05,-47.47579785028037
84.29829225572375,-72.81867863849814,3.490658503988659e-05,-46.38440122577979
90.24106356609373,-67.97783629363197,3.490658503988659e-05,-51.32840160691635
91.78657371802824,-68.28991390777678,3.490658503988659e-05,-46.65019686881566
75.32178692667628,-68.47777240608724,3.490658503988659e-05,-71.39506491593082
74.72334343213699,-71.1243324733195,3.490658503988659e-05,-44.87286191835884
81.52162825421699,-65.6747940058602,4.363323129985824e-05,-88.9151761652648
75.3075343926629,-69.81492061770942,4.363323129985824e-05,-127.41355487780712
81.6681631491919,-69.82180858636809,3.490658503988659e-05,-45.03694610034179
88.4090954652981,-72.12385632073236,4.363323129985824e-05,-53.59908867781864
77.17567606989701,-71.56849852207873,3.490658503988659e-05,-54.42303102480645
79.44236109462892,-67.29475672406244,4.363323129985824e-05,-84.98256928615457
87.49148863246887,-66.40288202444597,3.490658503988659e-05,-63.96039110250422
88.86305998019769,-69.3409225020969,3.490658503988659e-05,-48.33099787216158
84.74478716893177,-68.5903867350502,3.490658503988659e-05,-50.92422146805367
82.23878390592925,-68.75273253711765,3.490658503988659e-05,-46.14370705561243
72.86382698016303,-70.97561068962625,4.363323129985824e-05,-74.74098995149491
86.26403690329398,-73.73571132742437,4.363323129985824e-05,-54.16284325664486
76.30983477098773,-72.30304126512172,4.363323129985824e-05,-70.65487464247761
78.93942179021514,-65.54333729036341,3.490658503988659e-05,-46.756309381364936
85.46350822995608,-67.67632536605026,3.490658503988659e-05,-51.43715692348477
81.54868915261608,-66.02135573620549,3.490658503988659e-05,-48.47557327497301
72.43468369293997,-67.97965434508579,3.490658503988659e-05,-64.3477136155289
91.69453203784036,-67.55917045458517,3.490658503988659e-05,-47.79434434104
84.69927181915901,-67.77981679463865,4.363323129985824e-05,-66.22293176660338
90.08623811079808,-69.68639207939526,3.490658503988659e-05,-46.287394749088506
76.83285147582869,-65.93560301716843,3.490658503988659e-05,-45.186893351848276
84.25132395909424,-70.35920754766603,3.490658503988659e-05,-45.668850546976024
78.08698859445046,-74.22536007520574,4.363323129985824e-05,-0.0
82.20586250641044,-70.06447201680052,3.490658503988659e-05,-83.74571593157937
84.61415881196177,-66.14248104885078,3.490658503988659e-05,-47.536527201178856
71.88884156729132,-72.75514584445486,3.490658503988659e-05,-44.92691423581897
82.18322973104789,-69.77014702389943,3.490658503988659e-05,-68.97206408292297
73.09726288620078,-71.38858744477537,4.363323129985824e-05,-84.02651632251738
77.04446463188118,-67.86056009621865,4.363323129985824e-05,-89.74578800327117
78.1128488358695,-66.60557361416173,3.490658503988659e-05,-64.39009833528516
73.3854063585167,-70.06247888528071,4.363323129985824e-05,-75.64075987807728
82.2093403004572,-65.21747548972215,4.363323129985824e-05,-0.0
78.9109037172563,-69.6042580750713,3.490658503988659e-05,-64.70600914954342
92.59977797032384,-70.12806783628395,4.363323129985824e-05,-52.735667928949134
72.78418220918239,-67.53351691150377,3.490658503988659e-05,-45.637868339911954
79.71939228010643,-66.69996752113369,4.363323129985824e-05,-76.8389954369229
87.78108116622299,-67.19008573646846,4.363323129985824e-05,-86.64394908531452
85.74135708426111,-67.00417887008777,3.490658503988659e-05,-48.61035475198484
72.67981910109505,-68.80756442019324,3.490658503988659e-05,-59.75509136644035
93.51743445123205,-68.16270347607184,4.363323129985824e-05,-0.0
89.35375582201962,-68.25993103690533,3.490658503988659e-05,-44.467987256766946
68.93451880647194,-69.50814965483228,4.363323129985824e-05,-68.23021874554652
80.21005998443151,-66.45046292147413,3.490658503988659e-05,-56.279513369918
75.85239299502929,-67.34207990702387,3.490658503988659e-05,-48.217582012387545
76.33541281924238,-66.05437601868891,3.490658503988659e-05,-44.60193679739933
83.45468579866653,-65.89381642012134,4.363323129985824e-05,-82.12232372784011
86.77261172990711,-70.60094841472224,3.490658503988659e-05,-46.27919560357768
88.28534877109556,-69.17020335773273,3.490658503988659e-05,-46.712425680001424
76.79596895797644,-67.24597333598874,4.363323129985824e-05,-101.85025314066894
87.57802315773328,-68.93609147348192,3.490658503988659e-05,-44.74916019123874
75.45692733619549,-67.6193881281198,3.490658503988659e-05,-46.16608153785
80.88625009320704,-65.88943685050036,3.490658503988659e-05,-47.604854910914796
76.78749535917478,-72.14282454671056,3.490658503988659e-05,-49.4600730162757
79.03814543272368,-69.36940140760731,4.363323129985824e-05,-103.22114526543236
76.08376848372454,-67.92292849319682,3.490658503988659e-05,-88.20838216236523
90.91061862021105,-66.96010577830077,4.363323129985824e-05,-0.0
75.43962135425551,-71.08073246381997,3.490658503988659e-05,-64.21085809409834
84.62148732517049,-71.89565680352825,4.363323129985824e-05,-111.95219252362075
75.48920802566741,-66.58753124932932,4.363323129985824e-05,-92.12636829175828
91.30300555782387,-68.45633697706485,3.490658503988659e-05,-49.1770515411766
77.45473975971814,-71.63611151606521,4.363323129985824e-05,-78.63417366749107
76.98265957344096,-71.43542300706841,4.363323129985824e-05,-67.41677174107257
81.76729347501923,-67.10924833675675,4.363323129985824e-05,-71.2862650161827
93.53713868248276,-71.352961384335,3.490658503988659e-05,-48.72830700800203
76.0914231301599,-71.74384511175913,3.490658503988659e-05,-51.33400935747269
82.89118345030548,-65.0626930629214,4.363323129985824e-05,-0.0
79.67129896313364,-67.55080133885549,3.490658503988659e-05,-45.424630198649005
84.91546531813722,-73.3911385932567,3.490658503988659e-05,-45.51696585493414
93.71921761705916,-68.63615302515677,4.363323129985824e-05,-0.0
88.46757725450986,-68.81809448451762,3.490658503988659e-05,-57.572761921763245
83.51546969551016,-69.51268339777423,3.490658503988659e-05,-44.548687479170596
90.64408648311121,-71.63050747589185,3.490658503988659e-05,-44.670849155370725
72.6198094684023,-72.7571313250165,3.490658503988659e-05,-69.02284198598181
80.43288192208628,-72.19105581498738,3.490658503988659e-05,-75.74817119367344
81.44520656458813,-70.76061248469406,3.490658503988659e-05,-45.57377140119333
78.7847904990428,-69.28595637930127,3.490658503988659e-05,-99.75505978463
83.26688225409355,-71.65545415319218,4.363323129985824e-05,-116.6676205431994
81.25944756014465,-72.91270463339069,4.363323129985824e-05,-78.15540869889746
89.1354643557881,-70.25632779401812,3.490658503988659e-05,-54.130271400298994
90.66546010833949,-68.52663507062043,3.490658503988659e-05,-44.79703855389582
89.00223281691817,-70.40285415697213,3.490658503988659e-05,-45.742935038353885
76.4315049422247,-66.76756411248421,3.490658503988659e-05,-56.37329512938718
71.12266244865677,-68.89579350993392,3.490658503988659e-05,-58.618348856760406
78.0164067785689,-67.70288203994541,3.490658503988659e-05,-46.57718649125263
83.48459445780081,-73.0135756844283,3.490658503988659e-05,-53.7977497219331
87.58276819792803,-68.9348208572281,3.490658503988659e-05,-44.600052788490174
80.64284923621874,-67.28074102866779,3.490658503988659e-05,-61.92687906375245
78.86037651277455,-68.37222278961086,3.490658503988659e-05,-70.98627230776346
76.07201317027281,-70.94213479206508,4.363323129985824e-05,-107.05573146444574
90.64531850685049,-66.95974152348751,4.363323129985824e-05,-0.0
72.78418220918239,-67.53351691150377,4.363323129985824e-05,-45.047461336808006
72.70481927710844,-68.09308967532655,3.490658503988659e-05,-72.27615061871752
79.51411794008649,-66.18479555864525,3.490658503988659e-05,-55.97182835745762
87.88675723871124,-66.21160520196689,3.490658503988659e-05,-47.522237608849686
77.81629210654403,-68.61054612151779,3.490658503988659e-05,-73.4279290465613
72.60418942112653,-66.970486941291,4.363323129985824e-05,-68.88499464760821
88.30928061988202,-69.62529118912266,4.363323129985824e-05,-104.9494937669
77.09753018925569,-67.66177324898652,3.490658503988659e-05,-63.41724694629946
85.64277839916956,-67.68160041842711,3.490658503988659e-05,-45.76456564062754
86.118475939398,-68.48304031856736,4.363323129985824e-05,-57.50041816100941
83.33926236513584,-65.38061432385595,4.363323129985824e-05,-0.0
80.5533710166298,-70.29708313529554,3.490658503988659e-05,-54.947828560553376
76.91824657449025,-66.89508255168155,3.490658503988659e-05,-69.03340862031872
89.40588224544989,-70.37224749971986,4.363323129985824e-05,-77.82378984522725
88.4332542592193,-67.51313881624131,3.490658503988659e-05,-45.83469335172365
80.53647876386374,-72.00136386200222,3.490658503988659e-05,-47.16648017463197
70.82801421498439,-69.19651274547144,4.363323129985824e-05,-51.73047421908493
87.27081867580797,-65.98140031678565,4.363323129985824e-05,-81.01915765115706
93.33120737231216,-69.32205678441889,3.490658503988659e-05,-45.538461848633155
88.1162868977382,-70.82432274946429,3.490658503988659e-05,-71.77253686386416
76.94824620447238,-68.39674974058684,3.490658503988659e-05,-67.840986286915
84.91845143568393,-69.09471646412543,3.490658503988659e-05,-44.622278538647954
90.44898315222807,-68.39075435621791,3.490658503988659e-05,-49.538728894697336
70.83822910287812,-71.26560653851966,4.363323129985824e-05,-49.73577370553685
92.1895639829298,-69.27108023098154,3.490658503988659e-05,-52.017105873686106
71.27998068358643,-66.55527222064038,4.363323129985824e-05,-0.0
