ra,dec,beta_t,min_chi_sq
85.78123821100725,-68.58820730177231,3.490658503988659e-05,-67.03131969827848
84.68591691995947,-72.49428030504347,3.490658503988659e-05,-63.14132117523086
84.75792781411414,-67.53733772421995,3.490658503988659e-05,-52.517035192860824
90.81973765029578,-68.66738835422439,4.363323129985824e-05,-68.07962866499899
80.96833994583412,-72.06983933192248,3.490658503988659e-05,-66.07722204601723
72.51724226232139,-68.97511626924026,3.490658503988659e-05,-53.146964755772316
84.86380922509949,-71.71510569785704,3.490658503988659e-05,-69.57325118842473
92.20786105689837,-70.89218931941826,4.363323129985824e-05,-59.63739078082103
87.04109482220836,-69.29049172015746,4.363323129985824e-05,-56.86115414984728
76.17772877842583,-72.36769606646462,4.363323129985824e-05,-56.28714297288398
92.22618186102088,-68.66938590789782,3.490658503988659e-05,-65.26573822851661
76.62035093610946,-70.77943659596946,3.490658503988659e-05,-62.493291004461405
90.29850688233921,-66.89581114497904,3.490658503988659e-05,-60.9094350194132
82.45657615435532,-66.3769933666571,3.490658503988659e-05,-86.44050398031773
85.66330001820673,-71.29364086158034,3.490658503988659e-05,-67.34055593555235
73.37392066918511,-71.40016100260445,4.363323129985824e-05,-70.31325381220597
78.75413409500901,-68.50629124474179,3.490658503988659e-05,-59.582973780782744
79.84932494485403,-69.09217588044223,4.363323129985824e-05,-67.25289436754157
77.82854116719759,-68.13198716654665,4.363323129985824e-05,-146.88363020537417
74.70450007305313,-67.8771074602468,3.490658503988659e-05,-55.47703610163706
78.88477301387137,-68.36095822432372,4.363323129985824e-05,-76.86140386898361
71.78222880553498,-70.87572098766648,3.490658503988659e-05,-60.161898530851175
90.59949403627695,-67.85328638172439,3.490658503988659e-05,-60.26516931086499
87.49832551908906,-67.20264727157976,3.490658503988659e-05,-54.100490343965255
72.50296170662484,-68.94298905887362,3.490658503988659e-05,-67.04983882425071
75.16902148528726,-68.47722744699703,4.363323129985824e-05,-87.67348843434164
73.24031052140765,-68.05019041326797,3.490658503988659e-05,-56.19048694337205
87.13589704442788,-70.02786990231928,4.363323129985824e-05,-58.73588260372614
84.5492171534443,-67.41123751906593,3.490658503988659e-05,-57.2374648870723
71.10544232233124,-69.01813144269104,4.363323129985824e-05,-70.33491090423459
79.41400441950826,-68.14343781095806,3.490658503988659e-05,-77.32733573885592
82.82805021651598,-71.12234249149944,3.490658503988659e-05,-58.301923182841904
72.2823903127715,-70.18241833677547,4.363323129985824e-05,-66.26992426486771
84.6776321048845,-67.53297107905038,4.363323129985824e-05,-97.6021644417301
70.14993814784798,-68.96404436867772,4.363323129985824e-05,-69.70254093983064
85.39382435583191,-72.01581832579048,3.490658503988659e-05,-61.391395269676984
72.50077196232823,-69.07820248437757,3.490658503988659e-05,-56.75315985362885
83.5142173982062,-71.93812218445484,3.490658503988659e-05,-76.17642923577998
74.30158111804609,-68.8068382021889,3.490658503988659e-05,-64.49442872494546
79.76466027708176,-74.06608077207694,4.363323129985824e-05,-63.724674554015685
89.6219942560021,-70.89761835245281,4.363323129985824e-05,-51.8507767565974
76.3224434688367,-70.47547140903377,3.490658503988659e-05,-54.78548559196203
85.39430978799605,-67.53260719046122,4.363323129985824e-05,-78.72843166643851
75.83263984165899,-66.02208548802889,3.490658503988659e-05,-70.19967995349249
76.94537504968486,-67.86274219295157,3.490658503988659e-05,-59.3136542376145
79.57773377379031,-70.89580867958402,3.490658503988659e-05,-63.65417895263803
86.72117536639955,-67.61138372299001,4.363323129985824e-05,-73.36207884789427
74.6585224389183,-67.7063379562311,3.490658503988659e-05,-53.39400492387681
83.34043623816468,-72.55476587450113,4.363323129985824e-05,-64.15229305649869
81.31126988705705,-65.69031105313542,3.490658503988659e-05,-55.05950700986886
74.0361987429431,-69.24495540826172,3.490658503988659e-05,-53.27281198321005
81.23550229671126,-70.44088413114494,3.490658503988659e-05,-52.967335663449234
82.78221329868903,-67.18444205780517,3.490658503988659e-05,-61.9614504872937
77.30456831517185,-68.58548299915455,4.363323129985824e-05,-114.4365949043416
89.36802988234209,-66.57003506068149,3.490658503988659e-05,-54.549521197750614
74.18709074688168,-68.67374418406044,3.490658503988659e-05,-94.71850405466304
86.04489783959058,-71.64966949456647,3.490658503988659e-05,-58.204386441408595
73.80987032985604,-70.9057618208614,3.490658503988659e-05,-55.89706120989982
85.56661770530762,-68.24321266092417,3.490658503988659e-05,-65.27898421170028
78.71677314406709,-70.26520361634175,3.490658503988659e-05,-63.313921372078276
81.13841340824114,-70.91643866531771,3.490658503988659e-05,-51.61795962187028
75.6373308491861,-71.72342036444526,3.490658503988659e-05,-53.12643240461478
76.60040992837514,-66.05656513733642,3.490658503988659e-05,-87.99701757255554
82.01531869524547,-72.18581736693642,3.490658503988659e-05,-50.096227732318255
78.8294292983275,-66.11858648415736,3.490658503988659e-05,-54.561858523837394
73.75770863132227,-67.0140128908769,4.363323129985824e-05,-100.6683118137573
84.54484706904985,-73.51881566053311,4.363323129985824e-05,-53.54414411352353
81.83433517856871,-66.56128675865122,3.490658503988659e-05,-60.98600352552971
