ra,dec,beta_t,min_chi_sq
78.60576399230015,-70.24835756590176,6.98131700797732e-05,-67.8047359363876
86.72497426323045,-69.43451712501485,7.853981633974483e-05,-61.563296736375996
85.04179076693967,-70.73581453804724,7.853981633974483e-05,-111.21741455136022
75.91010874066347,-66.56566092698122,7.853981633974483e-05,-114.07981296745457
70.54968862545017,-70.88350277651057,7.853981633974483e-05,-105.50577241992077
78.25711513583441,-73.3880726463221,7.853981633974483e-05,-55.51531033555364
83.52306380687426,-65.96133026679493,6.108652381980153e-05,-51.4688871983736
73.1894976350867,-69.97658723898596,6.98131700797732e-05,-72.34400812828267
71.09508536164513,-72.3481918629794,6.108652381980153e-05,-43.75276413475925
91.58072066290414,-71.00401867939453,6.98131700797732e-05,-57.02175179605418
87.98309714265444,-69.77177850513922,7.853981633974483e-05,-63.89139248568026
80.49436820426726,-71.6377384871722,6.108652381980153e-05,-45.96951360264973
88.52046485364029,-70.30885643171499,6.98131700797732e-05,-48.674614166012475
75.79486963125473,-68.72894631642092,7.853981633974483e-05,-196.84578947657096
88.54313291775587,-66.76683535201856,7.853981633974483e-05,-57.582034618082005
74.19319342230361,-69.62057693080331,6.108652381980153e-05,-66.79879793348272
85.4347197455299,-67.64139967203015,6.108652381980153e-05,-64.33563245132358
80.72525706940873,-73.27985506712379,7.853981633974483e-05,-58.91422291899283
81.65402356841687,-70.09183166117637,7.853981633974483e-05,-88.32574720278345
82.2428774409793,-70.30994318695318,6.98131700797732e-05,-63.14054206807678
80.88030870605226,-66.1025345819276,6.98131700797732e-05,-56.90555225682015
83.45043480932918,-66.6075782850518,6.98131700797732e-05,-62.37715332482377
78.62499755041252,-71.70932152470745,6.98131700797732e-05,-58.108439749469134
80.2120888310723,-66.79489194248953,6.108652381980153e-05,-52.0995044265417
88.28126964173475,-72.9009745771632,7.853981633974483e-05,-50.70817909776296
70.01548109728441,-71.82571898544802,7.853981633974483e-05,-53.879790066359504
92.2649836157993,-69.63363171462524,7.853981633974483e-05,-53.63513341764856
76.31628562945369,-65.77811076860125,6.108652381980153e-05,-52.72945583562507
77.16169883315821,-70.54427845651459,6.108652381980153e-05,-49.22499778967284
